#SampleID	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium_capsulatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Candidatus_Koribacter	0	0	0	0	8	0	15	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Candidatus_Koribacter;s__Candidatus_Koribacter_versatilis	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales	2	0	1	3	81	2	123	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae	1	0	0	3	17	10	26	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	0	0	0	8	6	11	23	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__Bryobacter_aggregatus	0	3	1	24	15	109	25	0	0	0	0	9	0	0	1	2	0	0	0	0	2	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae	0	0	0	0	18	0	27	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus_Solibacter	0	0	0	2	5	0	10	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0
